Floor Area (ft^2) ,ENERGY_STAR_Score,SiteEUI,Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Total GHG Emissions (MtCO2e)
"28,840",,23.5,62,25,63.7,50.6
"17,795",63,55.2,133.7,60.1,138.9,70.5
"16,983",17,70.8,146,70.8,146,80.4
"461,795",93,40.5,119.6,41.7,120.8,1269
"197,000",87,66.6,153.4,70.9,157.9,920.4
"146,611",88,54.6,143,56.9,143.7,561.6
"340,000",69,63.5,139.6,64.8,139.7,1484.6
"1,059,539",77,101.3,227.8,104.6,231.3,5862.1
"1,124,443",87,71.3,190.9,73.9,193.6,4186.7
"1,126,589",85,89.8,211.8,92.4,214.5,4944.2
"1,068,638",86,77.5,190.1,80.7,193.5,5272.7
"882,977",56,77.7,159.7,79.8,160.8,4582
"38,597",76,49.7,127.9,53.9,132.3,141.6
"58,383",93,22.9,72,22.9,72,109.2
"47,838",95,43.4,97.4,42.6,94.9,144
"24,757",,75.5,158.3,79.4,162.5,125.9
"305,853",91,50.5,138.5,52.9,140.9,1175.8
"63,400",12,107.7,296.4,110.1,298.8,520.7
"249,960",88,61.7,148.8,63.9,150.5,1104.9
"12,000",1,173.7,374.3,176.1,371.5,142
"23,770",65,92.1,189.2,98.2,195.7,146.2
"45,574",3,186.8,372.5,189.8,375.6,561.5
"33,317",85,98.9,136.5,105.2,143,189.8
"306,883",85,57,156.1,58.5,157.7,1330.5
"588,929",91,45.8,133.6,47,134.8,1875.6
"144,380",79,77.1,180.9,79.6,183.5,668.9
"116,050",,63.6,138.6,69.5,144.7,505.5
"348,500",93,49,112.3,51.1,114.5,1197
"312,620",89,50.9,127.7,53.2,130.2,1155.1
"84,602",85,56.8,121.5,61.8,126.7,326.5
"270,099",94,37.1,104.3,38.5,106,791
"380,000",95,46.7,113.7,,,1276.8
"316,366",94,39.2,123,39.2,123,869.1
"19,575",52,45,130.1,47.1,132.3,68.8
"95,070",86,39.6,105.5,43.4,110,293
"250,000",17,101,219.9,103.8,223.2,1836.7
"364,985",89,55.6,141,56.1,140.3,302.9
"219,981",93,49,112.8,50.5,114.4,756.1
"407,312",76,67.2,169.6,71.7,174.3,1654.5
"446,640",81,62.2,185.1,63.1,185.9,1710.1
"81,065",86,74.6,186.6,79.5,191.7,440.7
"50,212",,43.4,136.1,42.5,133.5,177.5
"24,166",,40.1,118.2,40.3,116.2,76.5
"281,400",66,65.1,160,65.1,160,1396.5
"1,978,104",68,83.4,204.7,85,206.5,11499.5
"246,955",89,55.3,125.8,56.9,127.7,1021.5
"211,344",90,54.1,138.6,55,139.7,842.1
"43,130",75,62.4,145.3,67.8,150.9,189.8
"24,444",81,48.7,117.2,47.5,113.3,90.3
"51,522",87,27.9,66.2,32,70.5,102.2
"22,692",75,54.4,96,57.8,99.6,77.5
"205,076",87,36.5,114.7,35.6,111.8,610.9
"64,104",90,40.3,91.8,47.3,99.1,180.5
"137,068",79,54.1,140.8,58.8,146.1,564.2
"89,927",71,41.1,101.7,44.3,105.6,281.9
"814,226",95,42.5,112.2,43.4,113.4,2611.9
"33,863",22,110.7,239.8,115.2,244.5,256.1
"201,531",85,53.4,138.2,55.8,141.2,777.9
"95,289",59,67.6,181.2,66.8,178.9,501.9
"478,830",,62.9,151.1,64.2,151.1,2113.5
"279,248",93,35.6,111.9,,,776.2
"1,464,955",94,41.9,123,43.3,124.5,4564.9
"607,757",94,53.9,127.9,58,132.3,2154.1
"247,000",92,58.2,160.4,60.1,162.4,1096.9
"73,640",83,52.1,131.2,56.9,136.2,280.3
"75,272",47,93.5,219.1,93,214.1,497.6
"755,069",95,54.7,138.1,55.3,137.1,3021.1
"20,500",51,67.6,193.9,69.9,196.3,107.9
"15,406",,77.4,243,75.1,235.7,97.2
"20,000",,39.5,112.1,39.5,112.1,61.2
"222,853",91,45.1,121.2,47.3,123.4,644.8
"110,748",77,59.5,126.6,59.5,126.6,461.4
"135,805",99,31.3,68,34.4,71.8,314.1
"628,264",96,41.6,107.1,44.7,110.4,1838.7
"68,194",91,49.7,108.9,54.3,113.8,232.5
"130,326",88,51.1,128.7,53.3,130.9,486.9
"589,863",98,40.9,109.5,42.9,111.8,1633.5
