Floor Area (ft^2) ,ENERGY_STAR_Score,SiteEUI,Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Total GHG Emissions (MtCO2e)
"76,334",,31,94.7,31,94.7,180.4
"1,325,000",,88.4,223.6,88.4,223.6,7605.4
"852,066",97,43,117.7,43.8,118.6,2525.5
"10,800",53,36,107.5,34.7,103.6,30.9
"36,508",96,34.1,74.6,39.9,80.6,85.5
"26,000",45,50.7,140.9,49.1,136,101
"195,000",,6.5,20.3,6.2,19.3,102.9
"32,000",99,17,53.5,16.1,50.6,44.5
"46,075",,23.8,58.9,23,56.6,70.7
"11,500",,25.5,78.7,25.5,78.7,23.7
"127,900",,8.3,25.9,8.3,25.9,86.1
"90,377",,186,584.1,180.8,567.6,1370.8
"35,600",97,24.2,62.6,24.2,62.6,63.7
"11,000",93,25.9,68.7,28.7,71.8,21.3
"39,690",38,51.3,161.2,51.3,161.2,166.1
"19,425",,23.7,66.6,25.2,68.2,35.5
"22,800",96,26.4,65.4,,,43.7
"11,050",39,156.6,280.1,166.4,298.7,109.3
"12,700",34,53.4,165.8,53.4,165.8,54.9
"11,260",,27.5,68.7,25,60.8,22.6
"21,630",,34.2,93.4,36,95.3,56.2
"132,014",24,152.3,412.3,153.2,413.2,1521
"22,032",,16,46.6,16,46.6,27.7
"17,660",,34.8,60.5,43.6,69.7,38.4
"42,346",,16.5,51.7,15.9,49.9,56.9
"13,250",76,36.5,74.5,36.5,74.5,32.2
"108,000",88,39.6,97.2,39.6,97.2,308.8
"26,000",,99.9,247.4,101.7,245.5,188.3
"42,675",,130.1,311.2,139.8,321.4,283.9
"23,520",,70.3,219.8,63.9,199.7,134.5
"20,110",,33.7,105.8,33.7,105.8,55.3
"97,142",99,23.8,58.6,23.6,57,167.1
"39,000",64,39.3,41.3,42.9,45,81.5
"71,874",99,24.6,56.7,27.2,59.4,124
"47,407",,89.9,269.1,86.6,257.4,226.2
"200,000",100,16.2,44,16.3,44.1,245.3
"25,543",100,18.1,45.5,18.1,45.5,33.8
"20,000",84,13.3,23.9,12.5,23.1,16.8
"16,710",,33,88.1,35.7,90.8,41.4
"12,016",,15.2,37.5,15.2,37.5,13.2
"55,500",,14.7,32.9,14.7,32.9,56.4
"48,856",,81.4,192.2,79.8,187.5,282.1
"19,420",,15.7,35.4,18.8,38.6,21.2
"12,000",86,37.1,116.4,35.7,112,36.3
"28,000",,18.7,58.5,18.8,58.6,42.7
"29,925",25,72.9,218.1,72.9,218.1,173.5
"25,650",,52.2,147.9,54.1,149.8,103.6
"33,739",92,27.7,79.4,27.7,79.4,72.8
"15,000",78,23.5,67.4,23.5,67.4,27.5
"26,535",90,32.7,75.6,39.1,82.3,61
"37,104",97,29.6,71.2,,,78.6
"43,974",,15.2,42.5,15.2,42.5,51.4
"75,154",75,18.4,57.6,18.4,57.6,112.5
"14,000",,10.1,31.8,10.1,31.8,11.6
"139,478",,12.2,30.8,12.2,30.8,124.2
"30,000",,41.1,77,43,79,79.3
"128,901",,31.4,71.5,36.1,77.9,188.2
"29,634",75,52.8,137.4,52.8,137.4,116.2
"31,413",,258.5,497.5,320.2,562.2,113.7
"68,538",,58.4,136.6,58.4,136.6,282.8
"34,911",75,49.5,130.4,47.6,124.5,86.8
"53,280",49,62.8,153.2,64.2,151.3,184.8
"36,279",7,130,262.8,130,262.8,312.7
"28,750",87,42.8,103.1,44.8,105.2,65.9
"13,600",,33.5,94.3,35.8,96.8,35.1
"22,964",77,63.6,191.1,62.4,187.4,116.4
"18,375",65,10.2,23.6,10.2,23.6,13.2
"11,298",49,73.4,196.6,78.6,196.5,62.4
"290,000",68,40.7,84.4,41.6,87.1,791.6
"274,450",80,68.5,141.8,70.8,144.3,951.8
"48,050",,25.5,71.3,25.5,71.3,94.1
"159,330",86,57.2,131.2,58.8,133.1,682.4
"21,500",,11.5,32.8,11.5,32.8,19.2
"33,000",67,32.4,100.5,31.4,97.5,84
"95,832",89,27.3,85.3,27.3,85.3,213.1
"54,882",96,46.9,59.2,54.7,67.5,144.1
"30,000",93,32.2,77.7,33.7,81.7,69.2
"75,523",,25,76,21,62,151.5
"37,931",,6.2,19.1,6.2,19.1,19
"216,259",88,38.5,97.2,38.5,97.2,608.9
"66,000",100,18.7,54.1,18.7,54.1,96.4
"21,190",,25.3,79.1,24.1,75.6,43.6
"94,000",100,12.3,36.4,12.3,36.4,91.6
"69,100",12,98.6,207.5,96.6,201.1,472.6
"105,905",40,61.1,155.4,58.5,147,475.3
"337,000",66,54.6,171.5,54.6,171.5,1500.8
"129,719",48,111.1,203.4,114.8,207.3,778.9
"145,423",51,86.5,233.5,88,235,950.5
"98,804",85,45,110.9,47.4,113.9,338.8
"81,406",74,75.5,171,73.9,166.1,445.5
"1,545,220",42,67.1,156.8,66.6,153.2,7318.7
"9,630",86,27.2,82.4,26.2,79.2,21
"15,150",25,75,194.9,75.6,192.8,84.3
"10,275",60,42.5,132,41.2,127.8,35.4
"12,250",,26.1,80.4,26.1,80.4,25.8
"15,900",,136.6,216.3,136.6,216.3,131.1
"147,509",,52.2,116.9,59.9,125.1,533.7
"136,728",79,59.2,151.4,59.8,149.2,595.7
"11,564",84,28.9,86.7,28.4,85,26.6
"16,310",,25.5,69.3,27,69.7,31.5
"103,861",96,44.5,95.3,47,97.9,314.2
"222,918",98,28.2,79.7,28.8,80.4,485.3
"609,000",67,85.4,172.3,86.1,171.5,3447.4
"135,371",90,53,121.7,58.7,128.6,537.9
"328,885",,86.6,272,86.6,272,131.1
"68,783",28,57.2,132.6,57.2,132.6,276.9
"15,383",70,31.7,99.4,,,39.7
"22,038",26,82.6,185,88,190.6,126.1
"40,424",90,35.9,109,36.2,109.3,116.2
"350,084",92,55.8,141.8,57.1,143.2,1341
"124,181",84,59.8,146.8,62.5,149.6,536.5
"461,271",90,58.5,159,59.9,160.7,2110.8
"117,542",90,33.2,81.9,37.4,86.3,282.6
"1,205,848",91,49.8,139.8,51.3,141.3,4542.9
"342,238",86,65.8,165,68.2,167.9,1624.5
"560,325",84,57.1,142.6,57.3,141.6,2447.6
"763,841",92,51.6,162.1,51.6,162.1,2884.2
"404,422",89,50.9,159.9,50.3,158,1517.4
"250,000",,44.4,112,44.7,111.3,811.9
"445,438",90,68.9,160.8,70.1,160.8,1931.8
"1,101,389",89,49.8,147.6,51.3,149.1,4060
"955,092",94,40.3,113.7,41.6,115.1,2741.4
"584,663",89,58.2,155.3,60.4,157.7,2557.1
"754,385",95,63.3,158.3,,,3398.7
"1,737,113",95,71.2,191.6,74,194.5,8479
"484,663",82,58.3,172.2,59.2,173.4,2262.3
"142,726",59,95,175.1,96.9,177.2,866.1
"31,740",,276.1,526.7,273.6,518.9,567.6
"44,748",,42,131.8,42,131.8,153.1
"112,615",,153.2,287.2,157.8,290.4,1109.8
"79,837",,68.8,172.7,67.4,168.2,400.9
"892,240",90,46.8,136.6,46.8,136.6,2432.7
"22,746",81,36.8,109.7,37.8,113,66.4
"327,911",93,54.9,128.7,55.7,129.6,1199.1
"299,918",96,37,99.5,39.4,102,1583.6
"214,898",91,51.3,126.5,51.3,126.5,797.7
"286,510",93,54.3,136.8,57.5,140.2,1137.3
"537,024",90,62.5,158.5,64.1,160.2,2117.3
"422,199",72,70.3,220.8,69.5,218.4,1930.3
"506,544",92,41.2,128.3,41.2,128.3,1694.7
"25,955",80,43.2,94.9,48.1,100.1,77
"17,500",,16.4,46.4,17.1,47.1,22.2
"21,287",15,166.7,319.6,166.7,319.6,230.3
"37,747",66,79,129.9,79,129.9,182.5
"29,309",,113.5,231,115.8,233.4,221.3
"457,337",93,43,127.1,43,127.1,1500.6
"273,783",99,56.1,176.3,56.1,176.3,1135.2
"611,760",91,54.8,143.7,55.1,142.4,2287.5
"48,767",98,23.5,73.3,23.5,73.3,93
"18,840",,78.8,119.7,81.8,122.8,88.3
"67,807",55,67.2,176.4,68.6,176.9,339.5
"13,589",96,24.1,69.9,25.1,71,25.6
"25,000",70,47,146.6,47,146.6,95.5
"57,312",95,31.3,98.1,31.3,98.1,146.1
"190,066",,6,18.8,6,18.8,92.6
"43,802",88,36.7,114.1,36.1,112.1,130.4
"97,123",99,21.7,61.7,22.9,63,163.2
"40,200",86,29.4,88.4,30.1,89.1,94.2
"130,268",98,35.4,100,35.3,99.9,331.1
"339,765",94,45.9,110.2,46.9,109,1115.1
"291,614",80,75.2,173.8,75.4,171.5,1540.5
"357,659",,143.2,340.1,149.5,346.7,3643.1
"619,226",84,68.2,141,69.6,140.8,2235.5
"178,720",92,78.7,175.7,80.5,177.6,973.5
"124,147",90,69.4,113.5,69.4,113.5,452.2
"93,425",77,30.1,45.1,33.6,48.8,166.7
"37,630",2,79.1,146.5,87.3,155.1,190.6
"21,600",95,23.1,69.5,23.1,69.5,39.8
"21,114",89,41,115,42.9,116.9,66.7
"18,050",100,20.6,48.9,24.3,52.8,26.4
"19,432",,138.3,218.4,148.4,229.1,162.1
"12,870",13,92.2,176.1,94.2,178.5,76.9
"10,750",91,23.4,55.8,27.3,59.9,17.9
"86,623",76,83.7,219.3,84.4,217.7,334.2
"18,500",98,25.2,79,25.8,80.9,36.9
"32,139",,39.6,99.4,42.4,102.4,75.2
"15,277",,2.7,8.4,2.7,8.4,3.3
"32,706",97,19.5,61.4,18.4,57.7,52.1
"247,901",93,45,132.2,45.7,130.5,767.6
"94,505",5,66.7,209.4,66.7,209.4,513.8
"101,437",99,23.9,60.7,25.1,62,177.9
"35,415",63,92.1,188.7,91.4,186.8,217.5
"12,750",76,46.1,119.4,51.5,125.1,43.5
"28,362",98,36.1,68,44.9,78.1,46.3
"361,041",85,53.7,166.5,54,166.8,1555
"15,460",96,21.7,65.5,21.7,65.5,26.8
"274,550",,68.7,140,69.5,138.6,1255.5
"24,750",97,25,72.5,25,72.5,48.5
"22,687",63,48.3,136,49.8,137.6,84.6
"15,500",25,62.3,190.2,62.9,190.8,77.6
"15,600",100,1.9,3.9,1.9,3.9,2
"286,148",93,47.2,133.4,49.2,135.6,972.8
"665,148",94,37.8,118.7,37.8,118.7,1856
"342,355",85,60.2,149.9,61.8,151.6,1498.4
"114,053",83,65,130.5,66.4,130,490.1
"314,801",87,51.8,149.3,53.1,150.7,1188
"700,079",90,54.2,154.2,55.6,155.7,2352.4
"578,104",77,68.3,184.5,69.4,183.2,2164.5
"247,925",85,66,170.7,64.4,169.3,1062.1
"50,037",,39.5,71.2,48.9,82.2,125.3
"30,750",77,44.2,119.1,46.7,121.7,102.6
"27,390",86,33.4,89.6,35.2,91.5,68.9
"958,113",90,53.1,153.6,53,152.1,3473.8
"50,393",65,50.3,157.9,48.3,151.5,206.6
"16,000",89,20.8,50.9,23,52.8,24
"295,114",85,80.3,226.5,80.8,225,1395.8
"195,096",76,66.6,174,68.5,176,966
"185,386",,459.9,1444,453.5,1424.1,6951.3
"524,803",84,71.1,188.7,72.2,189.8,2406.2
"94,000",63,91.5,189.5,90.6,186.6,485.7
"17,600",,5.4,16.9,5.4,16.9,7.7
"33,691",100,15.2,41.4,16.4,42.6,38.8
"18,000",23,122.5,181.2,122.5,181.2,130
"16,981",,34.7,108.9,34.7,108.9,48
"26,162",,16.8,52.7,16.8,52.7,35.8
"70,000",,14.3,37.8,14.3,37.8,74.8
"25,433",,36.1,75.1,41.3,80.6,61.6
"44,000",,8.6,24.1,8.4,23.5,14.5
"16,875",89,23,67.1,22.7,63.8,30.5
"10,150",,34.4,106.5,34.4,106.5,28.3
"14,000",20,104.2,297.9,108.9,302.8,113.4
"21,437",28,50.2,157.6,48.5,152.2,67.3
"38,204",64,44.8,130.8,46.7,132.8,134.4
"10,800",,27.1,70.1,28.9,72,21.7
"24,682",97,21.1,65.5,21.3,65.7,42.3
"39,318",93,32.1,92.9,33.8,94.6,98.7
"16,000",,16.2,48.4,16.2,48.4,20.6
"49,917",85,37.2,111.9,38.1,112.9,148.1
"59,445",96,28.1,82.4,29,83.3,131.4
"117,200",52,87.6,201.3,91.8,205.7,614
"124,258",66,91.8,223.6,91.8,223.6,627.6
"233,291",,97.8,236,98.4,234.4,1459.8
"140,000",24,87.9,265.8,87.9,265.8,984.1
"99,522",,20.9,55.4,22.9,57.4,155.8
"15,000",100,15.1,35.4,17.9,38.4,16
"39,261",82,44.7,138.2,42,129.8,142
"17,195",94,30.6,78.6,34.8,86.2,38.8
"15,837",80,30.1,80.4,32.7,83.1,35.8
"24,812",99,15.9,45.3,16.6,46.1,30.6
"24,632",,10.3,29.7,10.9,30.3,14.9
"16,310",57,54.2,137,57.5,137.7,64.7
"15,930",86,44.1,108.1,44.1,108.1,50.7
"19,249",98,32.7,92,32.3,88.6,33.3
"61,839",97,47.3,98.2,53.2,104.4,196.2
"12,435",5,67.7,212.6,67.7,212.6,68.7
"151,785",99,29.8,80.9,32.3,83.5,342.3
"25,000",95,28.2,75.1,30.2,77.2,53
"15,762",97,20.8,60.1,20,57.5,25.6
"13,000",,26.2,56.1,30.3,59.7,23.2
"33,000",,9.7,20.2,11.7,22.2,21.5
"33,549",93,44.1,124.1,44.1,124.1,102.2
"39,794",61,96.1,195.6,96.1,195.6,254.4
"203,036",,64.6,199.8,64.3,197.8,778.1
"63,221",,58.7,171.8,57.7,168.6,291.8
"84,868",,33.4,87.4,33.4,87.4,211
"180,000",62,78.3,233.8,79.1,234.7,1119.5
"82,862",87,43.6,105.8,43.6,105.8,259.6
"248,537",86,91.9,288.6,91.9,288.6,1561.9
"816,166",83,68.6,205.5,68.6,205.5,4259.7
"18,896",,20.1,35.6,24.1,40.4,23.9
"49,000",24,25.4,77.1,24.4,74,99.7
"64,277",67,50.7,154.8,50.7,154.8,217.1
"93,567",82,58,179.7,58,179.7,353.2
"13,714",60,12.4,28.5,12.4,28.5,11.9
"115,000",,35,109.9,35,109.9,328.2
"172,415",100,99.6,265.2,99.5,262.1,1031.6
"25,920",,23.3,55,26.4,58.3,42.8
"73,666",,90.8,242.6,91.7,243.6,502.8
"64,000",,14.8,46.5,14.1,44.2,77.3
"23,466",94,27.1,73.7,27.9,71.1,48.2
"49,271",94,46.9,143.6,46.9,143.6,171.7
"249,625",,63.6,149.9,66.2,152.7,873
"108,000",95,32,98.7,31.6,96.9,279.2
"42,075",28,39.7,103,39.7,103,123.8
"292,813",87,75.2,180.1,77.2,182.3,1217.7
"24,096",88,33.6,87.2,36.7,90.5,60
"38,280",40,84.1,180.6,84.1,180.6,219
"12,581",96,38.7,80,44.2,85.8,32.6
"24,500",65,107.9,174.5,121.4,188.6,160.8
"29,528",,52,113,57.3,118.5,105
"89,886",89,45.6,139,45.6,139,296.7
"46,759",73,67.6,179.4,67.6,179.4,236.8
"134,445",62,60.2,184.2,61.3,185.3,651
"85,554",79,57.9,141.5,60.3,144,307.1
"42,429",97,27.8,87.3,27.3,85.6,96.2
"174,765",89,42.9,134,42.9,134,492.9
"65,402",96,31.6,93.5,32.7,95.1,163.3
"151,855",82,85,169.7,86.3,171,837.5
"58,452",72,58.5,157.3,60.4,159.3,257.9
"46,500",,241.9,483.3,239.8,476.8,742.4
"325,369",73,88.5,225.2,89.4,223.7,1093.2
"384,203",99,97.8,164.9,97.8,164.9,1776.7
"55,853",96,51.4,129.9,53,129.4,210.1
"16,771",1,189,396,193.7,400.8,213.4
"90,806",,22,69.2,,,163.2
"45,322",92,67.7,210.7,65.8,204.6,249.1
"45,050",50,24.6,47.3,24.6,47.3,72
"162,478",67,29.8,88.2,29.8,88.2,376.3
"35,124",65,14.3,36.6,16.2,38.7,37
"328,873",,23.3,72.5,23.3,72.5,622.3
"41,777",77,66.7,113.7,68.1,115.1,172.9
"294,475",,27.2,78.1,27.7,78.5,623.5
"51,276",,41.1,126.9,41.1,126.9,170.3
"70,000",30,121.4,263.2,120.1,259.2,580.5
"11,312",42,21.9,34.9,21.9,34.9,15
"35,000",,10.7,27.5,10.9,27.7,27.6
"191,659",95,33.7,104.5,33.1,101.9,523.2
"72,400",53,177.3,359.5,179.5,355.5,852.5
"25,500",,93.5,153.2,93.5,153.2,171.5
"25,500",,118.5,208.7,,,189.7
"63,250",,35.4,102.5,35.4,102.5,161.3
"76,620",77,73,198.3,73,198.3,423.8
"90,637",99,14.8,45.1,14.8,45.1,107.7
"47,500",,32,100.5,32,100.5,124
"79,438",,43.5,113.5,43.5,113.5,225.3
"430,065",,269.6,549.9,271.5,542.7,4287.3
"27,667",100,18.4,49.9,18.4,49.9,33
"16,952",,110.1,205,110.1,205,119.8
"127,074",,102.7,254.3,99.9,245.4,946.4
"204,740",100,30.2,52,31.7,53.5,384.4
"15,000",39,65.2,197.2,56.7,170.5,78.2
"28,861",88,20.1,63.1,20.1,63.1,47.3
"32,200",62,16.4,34.4,16.7,35.6,35.6
"128,800",97,25.6,61.9,25.6,61.9,217.3
"54,000",100,11.7,26.3,14.4,29.7,43.9
"29,000",,21.8,68.6,,,51.6
"66,000",,177.5,418.4,172.9,404,830.4
"12,300",19,54.3,133.5,61.1,140.5,48.3
"28,000",75,77.3,191,79,189.4,156.8
"16,136",,16.5,45.1,18.1,46.7,20.3
"158,094",,8.3,26,8.2,25.8,106.1
"32,100",54,33,89.2,35.9,92.3,155.8
"26,800",94,26.7,75.2,26.7,75.2,55.1
"51,561",,11.9,31.2,12.7,33.7,30.5
"11,824",,151.4,287.8,147.2,274.7,115.8
"91,619",,59,152.9,60.7,154.7,350
"15,000",91,27.7,68.3,27.7,68.3,30.1
"10,934",,14,34.9,14,34.9,11.1
"14,700",99,24.5,51.1,29.9,56.7,24.2
"24,004",,13.1,22.8,13.1,22.8,19.6
"25,000",86,20.1,34.7,25.4,40.2,31.3
"35,902",78,37.9,105.5,37.9,105.5,104.3
"33,372",,52.9,166.2,52.9,166.2,66.5
"33,372",83,4,12.6,4,12.6,10.9
"14,472",,14,34.9,16,37.8,14.7
"53,000",,1.3,4.2,1.3,4.2,5.7
"56,055",89,28,74.9,28,74.9,118.1
"16,800",96,32.5,65.2,38.7,71.7,36.1
"17,378",,72.1,181.2,78.8,188.2,91.5
"23,720",,77.7,243.2,77.7,243.2,150
"10,526",,30.4,67.4,31,69.3,22.1
"22,665",85,34,93,34,93,58.6
"35,044",,43.9,122.3,46.9,125.5,118.1
"10,875",70,105.5,331.3,103.2,324.1,93.6
"55,000",19,51.7,162.2,51.7,162.2,231.7
"15,161",47,35.4,78.4,36.4,79.4,37
"23,600",93,9,22.9,9,22.9,15.6
"16,760",,46.5,118.8,50.7,123.2,57.4
"16,250",47,29.9,94,29.9,94,39.7
"31,546",,74.3,125.9,76,126.1,145
"60,573",,41.6,111.7,42.2,110.4,189.7
"39,000",,1.9,6.1,1.9,6.1,4.9
"39,000",37,51,124.9,,,152.3
"39,000",1,30.9,96.2,,,97.9
"46,000",99,11.8,37,11.8,37,44.2
"49,723",78,13.6,34.5,14.7,35.7,49.5
"23,360",,50.8,102.7,52.2,104.1,49.6
"195,487",,13.1,38.8,13.1,38.8,202.4
"12,000",,29.2,73.5,32.3,75.5,25.6
"62,988",,135,423.9,135,423.9,693.3
"20,000",,15.7,49.3,14.7,46.2,25.6
"75,035",95,15.3,45.9,15.3,45.9,91.4
"119,900",,5.6,16.2,5.8,16.5,52.6
"112,054",91,19.8,59,19.8,59,176
"66,000",100,6.1,17.5,6.1,17.5,31.4
"30,000",,1.4,4.3,1.4,4.3,3.3
"33,193",86,17.4,50.4,17.4,50.4,45.2
"65,998",,30.6,68.4,32.2,70,139.7
"23,760",78,46.2,78.2,50.4,81.8,67.9
"31,250",55,15.4,47.1,15.4,47.1,38.7
"14,968",,159.8,501.7,159.8,501.7,195
"10,000",1,105.3,330.7,105.3,330.7,85.9
"31,973",95,3.5,10.9,3.5,10.9,9.1
"135,328",60,36.5,114.5,33.8,106.1,402.5
"100,000",98,31.9,78.5,35.2,81.9,230.5
"112,390",89,43.9,122.3,43.9,122.3,378.5
"102,294",93,38.7,97.5,39,95.7,289.2
"61,150",77,29.8,80.1,32.2,82.6,137.5
"36,480",62,14.6,44.2,14.6,44.2,42.6
"42,200",1,707.7,880.1,707.7,880.1,1664.9
"58,691",,67.5,145.4,67.5,145.4,270
"48,475",97,22.9,58,22.9,58,81.4
"20,000",,87.1,187.1,89.6,187.4,118.5
"29,077",,181.7,299,181.7,299,323.5
"23,824",4,92.1,289.1,92.1,289.1,178.8
"18,060",14,127.8,231.5,127.8,231.5,146.5
"19,819",95,22.3,33.4,25.4,36.7,20.7
"91,367",66,10.7,32.4,11,32.7,78.4
"34,165",81,8.2,24,8.2,24,22
"36,400",54,45.4,101.9,53.8,110.8,114.7
"14,400",,21.8,67.1,21.8,67.2,25.3
"20,200",54,28,58,32.5,62.7,37.9
"13,100",52,103.5,318.1,103.5,318.1,109.3
"122,020",99,24.9,67,24.9,67,229.3
"338,687",24,752,2361.3,752,2361.3,20766.9
"100,000",85,40.9,111.4,40.9,111.4,310.2
"27,440",57,6.4,20.2,6.4,20.2,14.4
"33,984",99,21.5,48.3,25.5,52.5,50.8
"16,500",62,69.9,136.2,74.6,139.5,75.4
"20,400",,31.7,81.7,31.7,81.7,47.8
"20,484",,114.7,357,115.4,357.8,190.7
"77,579",88,74.9,225.6,74.9,225.6,463.7
"15,000",,29.5,61.1,29.1,59.7,29.7
"15,232",37,105.6,329.4,103,321.3,130.7
"13,750",,89.8,191.5,93.7,195.7,83.8
"16,284",,31.4,59.7,31.4,59.7,33.1
"10,812",,333.7,412.9,332.4,408.8,200.8
"274,000",31,29.2,82.2,29.2,82.2,617
"36,672",77,28.2,52.4,31.5,55.9,66.2
"15,444",80,34.6,76.2,39,80.8,36.7
"15,431",,15.6,43.6,16.2,45.5,18.5
"10,000",,32.7,81.2,33.2,81.7,23.8
"34,875",70,57.7,142.3,60,144.6,93.7
"26,554",96,11.1,22.2,13.1,24.5,19.5
"35,000",,23.6,37.6,26.9,41,50
"30,000",97,16.7,34.7,19.5,37.6,33.7
"31,000",71,11.8,37.1,11.2,35.1,29.8
"23,100",,53.9,105,56.4,107.6,81.4
"36,000",75,119.6,375.6,117.4,368.8,351.1
"21,323",,13.1,41.1,13.1,41.1,14.8
"49,500",62,154.3,484.4,154.3,484.4,622.6
"102,296",,28,64,28.5,63.8,200.4
"67,608",,137.8,244,142,248.4,586.2
"26,640",,278.5,416.7,289.9,428.6,439.1
"280,025",96,24.5,75,24.5,75,552.2
"52,925",49,38.1,79.5,44.7,86.5,135.5
"10,728",9,221.1,658.5,219.4,648.3,628.9
"10,728",,259.5,437,259.5,437,326.9
"10,728",,50.7,155,51.4,155.7,43.8
"171,427",,233.3,482.7,239.9,477.7,2678.2
"200,280",,255.6,541.2,260.7,539.1,3462.3
"167,930",,221.5,461.5,230.6,464.6,2498.6
"313,575",86,60.8,167.5,61.2,164.8,1455.1
"219,588",,224.9,469.9,228.2,464.5,3320.8
"97,641",98,2.6,8.3,2.6,8.3,21.1
"123,133",98,4.4,10.3,,,38.3
"89,728",77,9,28.1,8.6,26.9,65.5
"169,841",,2.1,3,,,21.1
"71,833",,2.4,7.5,2.4,7.5,12.5
"71,833",,7.5,23.4,7.5,23.4,43.4
"83,852",,4.2,13.2,4.2,13.2,28.7
"108,431",2,34,102.3,,,293.9
"108,431",78,66.4,117.4,,,48.9
"15,586",20,163.9,268.3,,,156.1
