BuildingType,PG&E,SCE,SDG&E,Energy Star
Small Office (<30k ft2),64,53,43,67
Large Office (>=30k ft2),81,74,104,67
Restaurant,297,407,326,224
Retail,49,55,55,47
Food Store,173,164,159,186
Refrigerated Warehouse,68,85,128,126
Unrefrigerated Warehouse,21,17,18,29
School,45,40,30,58
College,78,70,82,131
Health,155,138,126,197
Lodging,72,86,117,75
Miscellaneous,55,58,46,79
All Offices,76,66,80,67
All Warehouses,34,22,25,
